"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1950-01","Jan-1950","IDX","Index","0","Units",,,101.0574,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1950-02","Feb-1950","IDX","Index","0","Units",,,101.5732,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1950-03","Mar-1950","IDX","Index","0","Units",,,102.2608,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1950-04","Apr-1950","IDX","Index","0","Units",,,103.2405,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1950-05","May-1950","IDX","Index","0","Units",,,104.228,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1950-06","Jun-1950","IDX","Index","0","Units",,,104.809,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1950-07","Jul-1950","IDX","Index","0","Units",,,104.831,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1950-08","Aug-1950","IDX","Index","0","Units",,,104.2191,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1950-09","Sep-1950","IDX","Index","0","Units",,,103.1428,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1950-10","Oct-1950","IDX","Index","0","Units",,,102.272,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1950-11","Nov-1950","IDX","Index","0","Units",,,102.2442,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1950-12","Dec-1950","IDX","Index","0","Units",,,102.675,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1951-01","Jan-1951","IDX","Index","0","Units",,,103.0011,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1951-02","Feb-1951","IDX","Index","0","Units",,,102.8854,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1951-03","Mar-1951","IDX","Index","0","Units",,,102.0374,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1951-04","Apr-1951","IDX","Index","0","Units",,,100.642,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1951-05","May-1951","IDX","Index","0","Units",,,99.41401,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1951-06","Jun-1951","IDX","Index","0","Units",,,98.4848,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1951-07","Jul-1951","IDX","Index","0","Units",,,98.04526,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1951-08","Aug-1951","IDX","Index","0","Units",,,98.18814,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1951-09","Sep-1951","IDX","Index","0","Units",,,98.63697,,
