Date,Value,Qtr Flag
30-Sep-2019,133.69,Q
31-Aug-2019,134.4,
31-Jul-2019,135,
30-Jun-2019,135.83,Q
31-May-2019,135.56,
30-Apr-2019,135.56,
31-Mar-2019,135.98,Q
28-Feb-2019,136.07,
31-Jan-2019,135.96,
31-Dec-2018,135.54,Q
30-Nov-2018,134.43,
31-Oct-2018,133.3,
30-Sep-2018,132.85,Q
31-Aug-2018,130.32,
31-Jul-2018,127.7,
30-Jun-2018,125.02,Q
31-May-2018,122.82,
30-Apr-2018,120.92,
31-Mar-2018,118.98,Q
28-Feb-2018,117.34,
31-Jan-2018,115.94,
31-Dec-2017,114.64,Q
30-Nov-2017,113.6,
31-Oct-2017,112.63,
30-Sep-2017,111.59,Q
31-Aug-2017,111.11,
31-Jul-2017,110.37,
30-Jun-2017,109.22,Q
31-May-2017,108.02,
30-Apr-2017,106.8,
31-Mar-2017,105.81,Q
28-Feb-2017,103.87,
31-Jan-2017,102.17,
31-Dec-2016,100.73,Q
30-Nov-2016,98.82,
31-Oct-2016,96.73,
30-Sep-2016,94.91,Q
31-Aug-2016,94.37,
31-Jul-2016,93.68,
30-Jun-2016,92.76,Q
31-May-2016,92.89,
30-Apr-2016,93.1,
31-Mar-2016,93.36,Q
29-Feb-2016,93.8,
31-Jan-2016,93.91,
31-Dec-2015,94.1,Q
30-Nov-2015,95.27,
31-Oct-2015,96.55,
30-Sep-2015,98,Q
31-Aug-2015,99.38,
31-Jul-2015,100.76,
30-Jun-2015,102.3,Q
31-May-2015,104.22,
30-Apr-2015,106.32,
31-Mar-2015,108.11,Q
28-Feb-2015,109.88,
31-Jan-2015,111.48,
31-Dec-2014,112.07,Q
30-Nov-2014,112.76,
31-Oct-2014,113.47,
30-Sep-2014,114.5,Q
31-Aug-2014,113.56,
31-Jul-2014,112.35,
30-Jun-2014,111.28,Q
31-May-2014,110.67,
30-Apr-2014,110.24,
31-Mar-2014,109.78,Q
28-Feb-2014,110.25,
31-Jan-2014,110.42,
31-Dec-2013,110.59,Q
30-Nov-2013,108.43,
31-Oct-2013,106.07,
30-Sep-2013,103.66,Q
31-Aug-2013,102.53,
31-Jul-2013,101.4,
30-Jun-2013,100.18,Q
31-May-2013,99.23,
30-Apr-2013,98.21,
31-Mar-2013,96.91,Q
28-Feb-2013,96.72,
31-Jan-2013,97.07,
31-Dec-2012,96.91,Q
30-Nov-2012,96.65,
31-Oct-2012,96.19,
30-Sep-2012,96.14,Q
31-Aug-2012,97.1,
31-Jul-2012,98.17,
30-Jun-2012,98.54,Q
31-May-2012,98.63,
30-Apr-2012,98.75,
31-Mar-2012,99.28,Q
29-Feb-2012,99.43,
31-Jan-2012,99.27,
31-Dec-2011,99.1,Q
30-Nov-2011,98.87,
31-Oct-2011,98.8,
30-Sep-2011,98.6,Q
31-Aug-2011,97.58,
31-Jul-2011,96.66,
30-Jun-2011,95.57,Q
31-May-2011,94.5,
30-Apr-2011,93.96,
31-Mar-2011,93.59,Q
28-Feb-2011,92.97,
31-Jan-2011,91.88,
31-Dec-2010,90.77,Q
30-Nov-2010,88.78,
31-Oct-2010,86.66,
30-Sep-2010,84.61,Q
31-Aug-2010,82.79,
31-Jul-2010,81.04,
30-Jun-2010,79.18,Q
31-May-2010,76.68,
30-Apr-2010,74.31,
31-Mar-2010,72.01,Q
28-Feb-2010,68.37,
31-Jan-2010,64.44,
31-Dec-2009,60.71,Q
30-Nov-2009,45.37,
31-Oct-2009,30.16,
30-Sep-2009,14.93,Q
31-Aug-2009,12.95,
31-Jul-2009,10.97,
30-Jun-2009,8.96,Q
31-May-2009,8.77,
30-Apr-2009,8.54,
31-Mar-2009,8.3,Q
28-Feb-2009,11.56,
31-Jan-2009,14.87,
31-Dec-2008,18.21,Q
30-Nov-2008,30.56,
31-Oct-2008,42.27,
30-Sep-2008,54.02,Q
31-Aug-2008,56.07,
31-Jul-2008,57.96,
30-Jun-2008,60.38,Q
31-May-2008,64.56,
30-Apr-2008,68.71,
31-Mar-2008,72.74,Q
29-Feb-2008,75.72,
31-Jan-2008,78.29,
31-Dec-2007,81.04,Q
30-Nov-2007,86.06,
31-Oct-2007,91.66,
30-Sep-2007,96.97,Q
31-Aug-2007,99.84,
31-Jul-2007,102.26,
30-Jun-2007,104.83,Q
31-May-2007,104.31,
30-Apr-2007,104.21,
