Date,Open,High,Low,Close,Adj Close, Volume 
12/1/1927,17.66,17.66,17.66,17.66,17.66, -   
1/1/1928,17.76,17.76,17.26,17.57,17.57, -   
2/1/1928,17.530001,17.629999,16.950001,17.26,17.26, -   
3/1/1928,17.299999,19.280001,17.299999,19.280001,19.280001, -   
4/1/1928,18.91,19.75,18.91,19.75,19.75, -   
5/1/1928,19.780001,20.440001,19.360001,20,20, -   
6/1/1928,20.07,20.07,18.34,19.139999,19.139999, -   
7/1/1928,18.98,19.48,18.700001,19.43,19.43, -   
8/1/1928,19.42,20.870001,19.129999,20.870001,20.870001, -   
9/1/1928,20.969999,21.43,20.92,21.139999,21.139999, -   
10/1/1928,21.360001,22,21.110001,21.68,21.68, -   
11/1/1928,21.99,24.280001,21.950001,24.280001,24.280001, -   
12/1/1928,23.85,24.35,22.309999,24.35,24.35, -   
1/1/1929,24.809999,25.74,24.17,25.74,25.74, -   
2/1/1929,25.84,25.84,24.35,25.59,25.59, -   
3/1/1929,25.83,26.08,24.35,25.530001,25.530001, -   
4/1/1929,24.879999,25.940001,24.629999,25.940001,25.940001, -   
5/1/1929,25.99,26.370001,24.200001,24.83,24.83, -   
6/1/1929,25.27,27.41,25.27,27.41,27.41, -   
7/1/1929,27.77,28.879999,27.77,28.879999,28.879999, -   
8/1/1929,29.08,31.709999,28.379999,31.709999,31.709999, -   
9/1/1929,31.82,31.860001,30.16,30.16,30.16, -   
10/1/1929,29.98,30.809999,20.43,24.15,24.15, -   
11/1/1929,22.879999,22.879999,17.66,20.92,20.92, -   
12/1/1929,20.950001,22.57,20.16,21.450001,21.450001, -   
1/1/1930,21.18,22.790001,21.18,22.790001,22.790001, -   
2/1/1930,22.74,23.360001,22.639999,23.280001,23.280001, -   
3/1/1930,23.360001,24.85,23.360001,24.15,24.15, -   
4/1/1930,25.370001,25.92,24.73,24.9,24.9, -   
5/1/1930,24.299999,24.57,22.98,24.49,24.49, -   
6/1/1930,24.4,24.4,19.389999,20.459999,20.459999, -   
7/1/1930,20.24,21.82,19.83,21.209999,21.209999, -   
8/1/1930,21.110001,21.52,19.879999,21.370001,21.370001, -   
9/1/1930,21.379999,21.860001,18.59,18.59,18.59, -   
10/1/1930,19.42,19.42,16.9,16.940001,16.940001, -   
11/1/1930,17.129999,17.200001,15.54,16.379999,16.379999, -   
12/1/1930,16.799999,16.959999,14.44,15.34,15.34, -   
1/1/1931,15.85,16.42,15.09,16.190001,16.190001, -   
2/1/1931,16.16,18.17,16.16,18.030001,18.030001, -   
3/1/1931,17.52,18.059999,16.66,16.690001,16.690001, -   
4/1/1931,16.52,16.719999,14.37,15.09,15.09, -   
5/1/1931,14.65,15.44,13.02,13.02,13.02, -   
6/1/1931,12.4,15.35,12.2,14.83,14.83, -   
7/1/1931,15.07,15.26,13.73,13.73,13.73, -   
8/1/1931,13.93,14.29,13.55,13.86,13.86, -   
9/1/1931,13.92,13.92,9.71,9.71,9.71, -   
10/1/1931,9.53,10.96,8.82,10.43,10.43, -   
11/1/1931,10.5,11.52,9.31,9.5,9.5, -   
12/1/1931,9.38,9.38,7.72,8.12,8.12, -   
1/1/1932,7.56,8.92,7.55,7.94,7.94, -   
2/1/1932,8.23,8.84,7.5,8.29,8.29, -   
3/1/1932,8.35,8.98,7.31,7.31,7.31, -   
4/1/1932,7.18,7.18,5.83,5.83,5.83, -   
5/1/1932,5.74,6.09,4.47,4.47,4.47, -   
6/1/1932,4.4,5.12,4.4,4.43,4.43, -   
7/1/1932,4.6,6.03,4.41,6.03,6.03, -   
8/1/1932,6.11,8.58,5.87,8.39,8.39, -   
9/1/1932,8.47,9.31,7.34,8.08,8.08, -   
10/1/1932,8.06,8.06,6.42,6.96,6.96, -   
11/1/1932,6.76,7.68,6.48,6.55,6.55, -   
12/1/1932,6.73,7.12,6.47,6.92,6.92, -   
1/1/1933,6.83,7.34,6.83,6.94,6.94, -   
2/1/1933,6.67,6.76,5.53,5.66,5.66, -   
3/1/1933,5.77,6.93,5.65,5.85,5.85, -   
4/1/1933,5.87,7.91,5.87,7.83,7.83, -   
5/1/1933,8.43,9.78,8.34,9.64,9.64, -   
6/1/1933,9.74,10.98,9.74,10.91,10.91, -   
7/1/1933,11.62,12.2,9.65,9.95,9.95, -   
8/1/1933,10.25,11.28,10.05,11.09,11.09, -   
9/1/1933,11.23,11.23,9.65,9.72,9.72, -   
10/1/1933,9.62,10.32,8.61,8.96,8.96, -   
11/1/1933,9.12,10.23,9.12,9.88,9.88, -   
12/1/1933,9.91,10.31,9.55,9.97,9.97, -   
1/1/1934,10.11,11.33,9.76,11.17,11.17, -   
2/1/1934,11.46,11.82,10.69,10.76,10.76, -   
3/1/1934,10.72,11.07,10.42,10.62,10.62, -   
4/1/1934,10.76,11.16,10.46,10.46,10.46, -   
5/1/1934,10.46,10.46,9.45,9.61,9.61, -   
6/1/1934,9.38,10.37,9.38,9.81,9.81, -   
7/1/1934,9.69,9.99,8.36,8.68,8.68, -   
8/1/1934,8.95,9.52,8.69,9.15,9.15, -   
9/1/1934,9.06,9.21,8.45,9.08,9.08, -   
10/1/1934,8.83,9.19,8.76,8.81,8.81, -   
11/1/1934,8.77,9.54,8.77,9.54,9.54, -   
12/1/1934,9.41,9.56,9.02,9.5,9.5, -   
1/1/1935,9.51,9.58,8.96,9.1,9.1, -   
2/1/1935,9.05,9.34,8.74,8.74,8.74, -   
3/1/1935,8.79,8.79,8.06,8.45,8.45, -   
4/1/1935,8.54,9.44,8.22,9.28,9.28, -   
5/1/1935,9.23,10.07,9.15,9.58,9.58, -   
6/1/1935,9.67,10.47,9.67,10.24,10.24, -   
7/1/1935,10.28,11.08,10.28,11.08,11.08, -   
8/1/1935,11.04,11.67,10.62,11.24,11.24, -   
9/1/1935,11.21,11.92,11.21,11.59,11.59, -   
10/1/1935,11.48,12.46,11.1,12.46,12.46, -   
11/1/1935,12.61,13.46,12.61,12.94,12.94, -   
12/1/1935,12.75,13.43,12.75,13.43,13.43, -   
1/1/1936,13.4,14.31,13.4,14.31,14.31, -   
2/1/1936,14.44,14.87,14.32,14.6,14.6, -   
3/1/1936,14.77,15.1,14.24,14.92,14.92, -   
4/1/1936,15.19,15.51,13.53,13.77,13.77, -   
5/1/1936,13.87,14.45,13.82,14.4,14.4, -   
6/1/1936,14.39,15.16,14.12,14.84,14.84, -   
7/1/1936,14.9,16.15,14.81,15.85,15.85, -   
8/1/1936,15.91,16.200001,15.32,15.99,15.99, -   
9/1/1936,15.95,16.290001,15,16.01,16.01, -   
10/1/1936,16.040001,17.23,16.040001,17.23,17.23, -   
11/1/1936,17.17,17.690001,16.889999,17.280001,17.280001, -   
12/1/1936,17.139999,17.32,16.65,17.18,17.18, -   
1/1/1937,16.93,17.959999,16.93,17.77,17.77, -   
2/1/1937,17.879999,18.370001,17.860001,18.059999,18.059999, -   
3/1/1937,18.09,18.67,17.219999,17.92,17.92, -   
4/1/1937,17.709999,17.709999,15.99,16.43,16.43, -   
5/1/1937,16.469999,16.73,15.62,16.26,16.26, -   
6/1/1937,15.96,16.280001,15.12,15.4,15.4, -   
7/1/1937,15.47,17.059999,15.47,16.77,16.77, -   
8/1/1937,17.07,17.27,15.88,16.040001,16.040001, -   
9/1/1937,15.61,15.61,13.2,13.76,13.76, -   
10/1/1937,13.72,13.72,10.76,12.35,12.35, -   
11/1/1937,12.08,12.08,10.17,11.11,11.11, -   
12/1/1937,10.97,11.42,10.31,10.55,10.55, -   
1/1/1938,10.52,11.95,10.52,10.69,10.69, -   
2/1/1938,10.89,11.68,10.34,11.34,11.34, -   
3/1/1938,11.46,11.46,8.5,8.5,8.5, -   
4/1/1938,8.91,10.45,8.91,9.78,9.78, -   
5/1/1938,9.59,10.63,9.27,9.27,9.27, -   
6/1/1938,9.57,11.72,9.42,11.56,11.56, -   
7/1/1938,11.91,12.8,11.73,12.33,12.33, -   
8/1/1938,12.25,12.73,11.85,12.06,12.06, -   
9/1/1938,11.92,12.41,10.99,12.24,12.24, -   
10/1/1938,12.52,13.91,12.48,13.17,13.17, -   
11/1/1938,13.1,13.79,12.37,12.73,12.73, -   
12/1/1938,12.61,13.14,12.32,13.14,13.14, -   
1/1/1939,13.08,13.23,11.53,12.3,12.3, -   
2/1/1939,12.12,12.7,12.12,12.7,12.7, -   
3/1/1939,12.7,13.1,10.98,10.98,10.98, -   
4/1/1939,11.26,11.26,10.42,10.93,10.93, -   
5/1/1939,10.86,11.65,10.86,11.6,11.6, -   
6/1/1939,11.42,11.8,10.79,10.86,10.86, -   
7/1/1939,11,12.18,11,12.04,12.04, -   
8/1/1939,12.04,12.16,10.86,11.18,11.18, -   
9/1/1939,11.3,13.17,11.3,12.79,12.79, -   
10/1/1939,12.88,13.21,12.73,12.83,12.83, -   
11/1/1939,12.82,12.95,12.2,12.2,12.2, -   
12/1/1939,12.29,12.46,12.19,12.46,12.46, -   
1/1/1940,12.63,12.77,12.05,12.05,12.05, -   
2/1/1940,12.05,12.37,12.04,12.13,12.13, -   
3/1/1940,12.06,12.27,12,12.18,12.18, -   
4/1/1940,12.21,12.59,12.04,12.19,12.19, -   
